Song,Album,Lyric,Previous Lyric,Next Lyric,Multiplicity,Lyric Entry,Song Entry,Color,Background Color,Lyric Color
22 (Taylor’s Version),Red (Taylor’s Version),To dress up like hipsters,It feels like a perfect night,And make fun of our exes,1,andmakefunofourexes,22,#792e39,#792e39,#907763
22 (Taylor’s Version),Red (Taylor’s Version),And make fun of our exes,To dress up like hipsters,"Uh-uh, uh-uh",1,uhuhuhuh,22,#792e39,#792e39,#907763
22 (Taylor’s Version),Red (Taylor’s Version),"Uh-uh, uh-uh",And make fun of our exes,It feels like a perfect night,1,itfeelslikeaperfectnight,22,#792e39,#792e39,#907763
22 (Taylor’s Version),Red (Taylor’s Version),It feels like a perfect night,"Uh-uh, uh-uh",For breakfast at midnight,1,forbreakfastatmidnight,22,#792e39,#792e39,#907763
22 (Taylor’s Version),Red (Taylor’s Version),For breakfast at midnight,It feels like a perfect night,To fall in love with strangers,1,tofallinlovewithstrangers,22,#792e39,#792e39,#907763
22 (Taylor’s Version),Red (Taylor’s Version),To fall in love with strangers,For breakfast at midnight,"Uh-uh, uh-uh",1,uhuhuhuh,22,#792e39,#792e39,#907763
22 (Taylor’s Version),Red (Taylor’s Version),"We're happy, free, confused, and lonely at the same time",Yeah,"It's miserable and magical, oh yeah",1,itsmiserableandmagicalohyeah,22,#792e39,#792e39,#907763
22 (Taylor’s Version),Red (Taylor’s Version),"It's miserable and magical, oh yeah","We're happy, free, confused, and lonely at the same time",Tonight's the night when we forget about the deadlines,1,tonightsthenightwhenweforgetaboutthedeadlines,22,#792e39,#792e39,#907763
22 (Taylor’s Version),Red (Taylor’s Version),Tonight's the night when we forget about the deadlines,"It's miserable and magical, oh yeah","It's time, oh-oh",1,itstimeohoh,22,#792e39,#792e39,#907763
22 (Taylor’s Version),Red (Taylor’s Version),But I'm feelin' twenty-two,I don't know about you,Everything will be alright if,1,everythingwillbealrightif,22,#792e39,#792e39,#907763
22 (Taylor’s Version),Red (Taylor’s Version),Everything will be alright if,But I'm feelin' twenty-two,You keep me next to you,1,youkeepmenexttoyou,22,#792e39,#792e39,#907763
22 (Taylor’s Version),Red (Taylor’s Version),You keep me next to you,Everything will be alright if,You don't know about me,1,youdontknowaboutme,22,#792e39,#792e39,#907763
22 (Taylor’s Version),Red (Taylor’s Version),You don't know about me,You keep me next to you,But I'll bet you want to,2,butillbetyouwantto,22,#792e39,#792e39,#907763
22 (Taylor’s Version),Red (Taylor’s Version),But I'll bet you want to,You don't know about me,Everything will bе alright if,1,everythingwillbеalrightif,22,#792e39,#792e39,#907763
22 (Taylor’s Version),Red (Taylor’s Version),Everything will bе alright if,But I'll bet you want to,We just keep dancin' like we'rе,1,wejustkeepdancinlikewerе,22,#792e39,#792e39,#907763
22 (Taylor’s Version),Red (Taylor’s Version),We just keep dancin' like we'rе,Everything will bе alright if,Twenty-two,1,twentytwo,22,#792e39,#792e39,#907763
22 (Taylor’s Version),Red (Taylor’s Version),Twenty-two,We just keep dancin' like we'rе,Twenty-two,1,twentytwo,22,#792e39,#792e39,#907763
22 (Taylor’s Version),Red (Taylor’s Version),This place is too crowded,It seems like one of those nights,Too many cool kids,1,toomanycoolkids,22,#792e39,#792e39,#907763
22 (Taylor’s Version),Red (Taylor’s Version),Too many cool kids,This place is too crowded,"Uh-uh, uh-uh (Who's Taylor Swift anyway? Ew)",1,uhuhuhuhwhostaylorswiftanywayew,22,#792e39,#792e39,#907763
22 (Taylor’s Version),Red (Taylor’s Version),"Uh-uh, uh-uh (Who's Taylor Swift anyway? Ew)",Too many cool kids,It seems like one of those nights,1,itseemslikeoneofthosenights,22,#792e39,#792e39,#907763
22 (Taylor’s Version),Red (Taylor’s Version),It seems like one of those nights,"Uh-uh, uh-uh (Who's Taylor Swift anyway? Ew)",We ditch the whole scene,1,weditchthewholescene,22,#792e39,#792e39,#907763
22 (Taylor’s Version),Red (Taylor’s Version),We ditch the whole scene,It seems like one of those nights,And end up dreamin',1,andendupdreamin,22,#792e39,#792e39,#907763
22 (Taylor’s Version),Red (Taylor’s Version),And end up dreamin',We ditch the whole scene,Instead of sleepin',1,insteadofsleepin,22,#792e39,#792e39,#907763
22 (Taylor’s Version),Red (Taylor’s Version),"We're happy, free, confused, and lonely in the best way",Yeah,"It's miserable and magical, oh, yeah",1,itsmiserableandmagicalohyeah,22,#792e39,#792e39,#907763
22 (Taylor’s Version),Red (Taylor’s Version),"It's miserable and magical, oh, yeah","We're happy, free, confused, and lonely in the best way",Tonight's the night when we forget about the heartbreaks,1,tonightsthenightwhenweforgetabouttheheartbreaks,22,#792e39,#792e39,#907763
22 (Taylor’s Version),Red (Taylor’s Version),Tonight's the night when we forget about the heartbreaks,"It's miserable and magical, oh, yeah","It's time, oh-oh",1,itstimeohoh,22,#792e39,#792e39,#907763
